,username,location,text,hashtags,tweet_date
5180,Climatehope,,"@WarrenChapman @EricWil06256732 @KCTaz @glinch72 @JohnDublin10 @FillmoreWhite @Mark_A_Lunn @B_Bolshevik100 @BridgetHolmstro @S_D_Mannix @PaulAtBillabong @BrknMan @Willard1951 @Stephen90045069 @TWTThisIsNow @Ceist8 @Data79504085 @FChecker76 @AristotleMrs @ncdave4life @dan613 @ammocrypta @NonlinearDarren @flyonthewall182 @GregTruman4 @Jaisans @GregCoo85844909 @25_cycle @don85375 @ZSRenn @1tsakeeper @LizHersch1 @JustThi30117912 @gregchoat @Anvndarnamn5 @NickMcGinley1 @RobMeekel @cieloyla @EthonRaptor @BradPKeyes @JSegor @jwickers @0Sundance @PeterMayfitz @omahas @TonyBoloni8 @TheDisproof @DanCady @Keeper_86 @Jamz129 ""‘climate change’ replaced ‘global warming’ in 2010, as there had been no warming. Empirical evidence surely.""

Empirical evidence of what ? If you want real empirical evidence, here's 10 years of it. 
https://t.co/OEZIKOysq2",[],2021-11-27 07:30:44
5181,Swati Tiwari,"Mumbai, India","Environment have been a concern , the climate change and global warming.....watch this series for gaining more knowledge in this field with climate related ambassadors and members.

#SwasthBharatClimateSeries https://t.co/HTrRdO0ztS","[{'text': 'SwasthBharatClimateSeries', 'indices': [182, 208]}]",2021-11-27 07:25:51
5182,Tomor Khan,Mongolia and USA,"@Particle96 When I was a kid the science was settled, if we didn't curb CO2 it was blocking out the sun's radiation and the next ice age was inevitable. Then acid rain scare followed by the ozone layer being depleted. In the 90s it was global warming now climate change. Worry about climate? https://t.co/TwbPaPNTeG",[],2021-11-27 07:21:02
5183,Deccan Herald,India,"Two decades ago, a pollster named Frank Luntz famously advised Republicans to say “climate change” instead of “global warming,” a phrase that sounded less alarming, to try to stave off calls for urgent action. https://t.co/pbbaXt4y4B",[],2021-11-27 07:10:02
5184,Syncretic,Earth,"@IvisonJ Ivison is so focussed on getting a byline, he misses the facts.

CO2 emissions =&gt; anthropogenic global warming =&gt; climate change =&gt; extreme weather =&gt; floods
#ClimateCrisis","[{'text': 'ClimateCrisis', 'indices': [179, 193]}]",2021-11-27 07:03:08
5185,This is My Earth #𝗧𝗵𝗶𝘀𝗶𝘀𝗠𝘆𝗧𝗶𝗺𝗲,Worldwide,"🧪Scientists,👩‍🏫Professors,🧑‍🏫Teachers &amp;🧒New generations have a crucial role in fighting the effects of global warming and climate change.

If you join us, you'll be 100% protecting 🌏Earth &amp; taking it back to where it belongs.

Seize the #ThisisMyTime day

https://t.co/92RzguSmdP https://t.co/NHIPLQZ0A5","[{'text': 'ThisisMyTime', 'indices': [245, 258]}]",2021-11-27 07:00:40
5186,Rags,,@JohnMcC32142386 Yeah. Global warming... climate change... has been around since I’ve been a teenager I guess...  he’ll probably before that and I don’t remember it,[],2021-11-27 06:54:36
5187,Pradyut Bordoloi,"Guwahati, Assam","Global Warming and the Climate Change are for real ! Setting the agenda before Parliament, my piece in the Assam Tribune today. Are we upto it ? https://t.co/ZBJDnXaROP",[],2021-11-27 06:50:11
5188,сαɾρατhïαṉ,Romania,"@AlyssaMary03 Yeah, I remember Al Gore pimping the Global Warming doomsday, and how when that failed to come true, it was rebranded Climate ""Change"".

Well of course climate changes, all throughout the history of this rock, and it will continue regardless.",[],2021-11-27 06:11:59
5189,"Tom Gillispie, LET'S KEEP NATURE LOOKING NATURAL","Rural Hall, NC","#environment Links to CLIMATE CHANGE #climatechange #climate #change #global #warming #CO2 #preserve_nature
https://t.co/QCcFzGAdD2 https://t.co/TAHifElaEv","[{'text': 'environment', 'indices': [0, 12]}, {'text': 'climatechange', 'indices': [37, 51]}, {'text': 'climate', 'indices': [52, 60]}, {'text': 'change', 'indices': [61, 68]}, {'text': 'global', 'indices': [69, 76]}, {'text': 'warming', 'indices': [77, 85]}, {'text': 'CO2', 'indices': [86, 90]}, {'text': 'preserve_nature', 'indices': [91, 107]}]",2021-11-27 05:57:32
5190,Jyoti Ranjan Mishra,India,"@engineers_feed If we are indeed in a simulation, then i have a message for the admin...

Please get rid of global warming and climate change. Also i would request you to put a million dollar in my account. So that i can buy expensive electric cars and give it to people who can't afford one. 🤪",[],2021-11-27 05:48:34
5191,manohar,"Mudigere, India","@CONTINUOSBETTNG India harvest November to April.
Vietnam October-december.
Colombia has two crop cycles a year 
Mexico ?
Honduras ?
Ethopia ?
Uganda ?

Will leave it to @SpillingTheBean to answer as over the decades the time frames have changed with global warming/climate change.",[],2021-11-27 05:39:44
5192,Lisanza Miheso,"Nairobi,Kenya",@roshowamai Proper scientific evaluation of climate change as aresult of global warming should start with warming agent.The https://t.co/pP2NY7TvdX should be established quantiafiably that the orbital path of earth has not reduced one https://t.co/hHVVxQiB26 is intensity of sun's radiation.,[],2021-11-27 05:39:28
5193,Chevy,"Florida, USA","@MrNobod02145016 I suppose that's why they ditched ""Global Warming"" in favor of ""Climate Change"". Though it's still stupid to think we can stop it from happening at all.",[],2021-11-27 05:28:59
5194,WC,"New Jersey, USA","@NewDayForNJ @RepAOC @NJGOP @ConservativesNJ @NJSenDems @senatenj @kellyesorelle @BillSpadea Global Warming, climate change is nothing but a money grabbing hoax from fear mongers trying to convince us the sky is falling while China builds new coal burning power plants! https://t.co/TBZi83t9VI",[],2021-11-27 05:08:57
5195,Freedom,International ,@ryanciminski The so called ‘variant’ from S Africa is also the fault of the unvaxxed. Just like global warming and climate change.,[],2021-11-27 05:01:50
5196,VICE,,"Salt, butter, and a dash of climate change.
https://t.co/EjLXGxuKCk",[],2021-11-27 05:00:05
5197,No Left Turns,"Anywhere, USA","Global warming, climate change will always get a side eye from me...I guess I've lived long enough to know a ponzi scheme when I see one!  Think how rich AlGore got with the smoke and mirrors of carbon credits? https://t.co/hlB9795GGm",[],2021-11-27 04:57:17
5198,FOWAC,"Kitgum, Uganda","Climate change vulnarability, the weak, the poor, the voiceless.
STOP the global warming to STOP Voilence Against Women.",[],2021-11-27 04:30:41
5199,Ronnie G,"Pennsylvania, USA","@CDeplorable Always loved how it started out as ""global warming"",and when that was disproven, it quietly became ""climate change""
BtW 29 &amp; snow flurries here",[],2021-11-27 04:14:59
5200,Maximus,,"@LindsayCheyne1 @BCReality @CTVNews Oh shit, is it not global warming anymore, is it back to climate change?  I can never remember.",[],2021-11-27 04:14:44
5201,FOWAC,"Kitgum, Uganda",@GAGGA_Alliance @AguayVidaMx @both_ends @mamacash @fcmujeres Climate change-Global warming has very huge link to violence against women. We need to unpack each dynamic as it unfault so that women are liberated.,[],2021-11-27 04:06:08
5202,ف,,"@MayaElle13 @11cazzie @pataki_ro @munyachawawa No. No indigenous African before colonisation knew anything or cared about global warming or climate change. And yes, they did believe in evil spirits and omens. Most still do.",[],2021-11-27 03:48:44
5203,Orange Patriot,"Tennessee, USA",Global warming isn't working so now these same people have just changed to climate change so they can move their narrative. https://t.co/TsD350VTWX,[],2021-11-27 03:38:32
5204,Aldous,,"@rebeccawatson @dannyvsdanny Great. Explain to me why the left believes in catastrophic climate change when the computer models used by the IPCC chronically over estimate global warming and often fail to keep up with observational data? 

https://t.co/QowUZxWh5S

Thanks",[],2021-11-27 03:27:55
5205,Marty Brink,,"@geostylegeo No! As it is right now with global warming/climate change, 1/4 of the world's population is facing fresh water shortages. 84 million people in the US are affected by drought conditions this week alone. This is not a time to increase a family size.",[],2021-11-27 03:07:43
5206,Vinay Kumar,,"@TheEconomist @jonfasman @carolinebnell Pls stop spreading nonsense. There were more animals when human population was less. Why didn't it cause human extinction by the same global warming, climate change, or whatever??",[],2021-11-27 02:55:16
5207,Jong ⚖ 🇵🇭 🆙️ 🐺,Philippines,#OurPlanet on @Netflix_PH is one of the better documentaries I've seen about global warming without discussing global warming. It tells us about wildlife and how climate change endangers them. Like how the melting of the south pole ice caps affects a lot of species.,"[{'text': 'OurPlanet', 'indices': [0, 10]}]",2021-11-27 02:53:54
5208,World Agroforestry,Nairobi,"Keeping global warming to 2 °C above pre-industrial levels requires going beyond the agriculture sector and exploring possibilities with respect to reduced emissions from deforestation, food loss &amp; waste, as well as from rethinking human diets.

🔗:https://t.co/fMhTePZKkf 
#COP26 https://t.co/FJ4CCi2GOd","[{'text': 'COP26', 'indices': [277, 283]}]",2021-11-27 02:45:01
5209,blank,,How Oil Companies Hid the Truth About Climate Change | Global Warming | ... https://t.co/O7nyKvn9T2 via @YouTube,[],2021-11-27 02:36:12
5210,PETER CHAPMAN,,"Climate change, climate adjustment  Climate repair, global warming 
What ever u call it
All i know is that's it fooking freezing in NSW!!",[],2021-11-27 02:11:31
5211,Australian Forests and Climate Alliance,Australia,"The weather system that drove [strong, repeated] westerly wind across NSW and Victoria’s forests, sparking some of the worst fires of the Black Summer, will be up to 4 times more likely to occur under forecast levels of global warming.
#bushfires #climate
https://t.co/BiGmmYW6Nx","[{'text': 'bushfires', 'indices': [236, 246]}, {'text': 'climate', 'indices': [247, 255]}]",2021-11-27 02:03:26
5212,Adam Milstein,Southern California,"Global Warming Blast from the Past! John Coleman, founder of the Weather Channel and the original meteorologist on ABC’s Good Morning America tells CNN @brianstelter @ReliableSources climate change is ""baloney."" Coleman died in 2018 at the age of 83 ...https://t.co/POlHJidSgY https://t.co/YpYHLcXMl2",[],2021-11-27 01:24:01
5213,Duke,Canada,"Trudeau can’t solve the domestic:
*Homelessness problem. 
*Poverty problem. 
*Opioid problem. 
*Food Bank dependence problem. 
*Mental Health problem. 
*Health Care underfunding problem. 
*Why does anyone think Trudeau will solve the Climate Change/Global Warming problem??? https://t.co/K63EKqb1Sl",[],2021-11-27 01:23:47
5214,RandomGarbageMan,,@Leighincognito Gotta follow the science .... You're not accounting for climate change . You have to carry the global warming and factor in the remainder of racism . Divide that by # of boosters and that's your new vaccine .,[],2021-11-27 01:19:29
5215,Dana McNamara,Utah,It depends what words were crapped upon....It's fine when Pooper Biden drops Loud and LONG  Stinkers (aka Climate Change GAS) while speaking to Prince Charles' wife at the Global Warming event.https://t.co/EKXxjgg47j,[],2021-11-27 01:11:23
5216,John Ziegler,"Los Angeles, CA",Translation: Leaders of the Climate Change/Global Warming Religion Realize they Need to Merge With the Race Reparations Religion In Order to Fully Pull Off Their Boondoggle… https://t.co/eyOk81UNDj,[],2021-11-27 01:09:00
5217,Sara,"Las Vegas, NV","@tw_simpson I’ve told my daughter that since me and her dad were born in the late 70’s we need t-shirt that say:

I’ve survived:
Impending Ice Age,
Hole in the Ozone Layer,
Acid Rain,
Global Warming,
Killer Bees,
Ice Caps Melting,
&amp; Climate Change

(Did I leave any out. 😂)",[],2021-11-27 00:10:32
5218,Rebel Scum (he/him),A place that's on fire.,@nationalpost Nov 16 EWE:  Climate change: Guadeloupe's coastline threatened by global warming. https://t.co/0mu7UeR0vT,[],2021-11-27 00:09:36
5219,Princeton University,"Princeton, NJ","""If we go on a path to 3 degree warming, more and more things that are unheard of or have been unheard of will become relatively commonplace.""

At @NPR, @PrincetonEnviro director Gabe Vecchi talks about the dangers of a 1.5-degree increase in global temps. https://t.co/KjSnYHrvAf",[],2021-11-27 00:07:01
5220,DeanHare,The Palouse,@RBReich I am more concerned that all fossil fuels companies are using their owned politicians to kill off beneficial legislation that would help curb climate change and global warming.,[],2021-11-27 00:01:25
5221,Adam,"Ohio, USA",@TheRightAva88 Climate change😂😂😂.  Global warming rebranded.,[],2021-11-26 23:50:18
5222,Peter Leighton-Jones Ⓥ 🏴󠁧󠁢󠁷󠁬󠁳󠁿🌱,"Leeds, England","@_Spinflight_ Global warming is just one symptom of climate change, where the latter causes extreme weather events. The UK will be significantly colder if the gulf stream halts...due to climate change feedback loops.",[],2021-11-26 23:45:50
5223,ZNet,,"A root reality of injustice experience in the way global warming points to data that shows that the 1% of the world population is currently subject to barely livable climate conditions @rfalk13
https://t.co/5Zr4Z9sAbM",[],2021-11-26 23:44:25
5224,Playing For Change,The World,"Join us December 5th on #PFCPlantATreeDay and Play For The Environment!
We invite our community to make a real difference. Plant a tree and take action to combat climate change and global warming. 
Share your best pic #PlantingATree and Play For Change! #CorningGorillaGlass https://t.co/cA9ow3eHFC","[{'text': 'PFCPlantATreeDay', 'indices': [24, 41]}, {'text': 'PlantingATree', 'indices': [218, 232]}, {'text': 'CorningGorillaGlass', 'indices': [254, 274]}]",2021-11-26 23:30:00
5225,"Tom Gillispie, LET'S KEEP NATURE LOOKING NATURAL","Rural Hall, North Carolina, USA","#climate #change The 11TH HOUR FOR THE EARTH #climatechange #global #warming #GlobalWarming #nature #preserve_nature
https://t.co/mrNoQhJGct https://t.co/hvhaeHR7Wy","[{'text': 'climate', 'indices': [0, 8]}, {'text': 'change', 'indices': [9, 16]}, {'text': 'climatechange', 'indices': [45, 59]}, {'text': 'global', 'indices': [60, 67]}, {'text': 'warming', 'indices': [68, 76]}, {'text': 'GlobalWarming', 'indices': [77, 91]}, {'text': 'nature', 'indices': [92, 99]}, {'text': 'preserve_nature', 'indices': [100, 116]}]",2021-11-26 23:12:36
5226,@drtimball #climate,Columnist-Landowners Magazine,"Canada is the “worst performer” of G7 nations on climate change: environment commissioner 
Dr Tim Ball - Historical Climatologist
Book: ‘The Deliberate Corruption of Climate Science’
Book: ‘Human Caused Global Warming, the Biggest Deception in History’
https://t.co/Y2cNzxOFLX",[],2021-11-26 23:12:11
5227,Justiss Goode,"Los Angeles, Ca.","Global Warming is Causing Climate Change and Maybe Even a Rainy Day | by Justiss Goode | Jul, 2021 | Medium - via @pensignal  Read this thought provoking story https://t.co/FPLls5ejOE and don't forget to share your thoughts.",[],2021-11-26 23:09:34
5228,beyondWISDOM,,"@AaronWh44790523 @PennyMcLain @JoeConchaTV What we know is a drop
What we don't know is an ocean

This is the drop which we know
https://t.co/3Y5z1fhYmD

This is from the ocean which you don't know.
https://t.co/kI3Dh4b3AI
Method ends climate change &amp; ends global warming",[],2021-11-26 23:01:42
5229,⋆｡♪˚⋆｡♪,Sarawak (SEA),climate change/global warming cause melting of ices then unleash old/new virus that trap in them...,[],2021-11-26 22:56:25
5230,Ila,,"Just heard on the news that we are going to have the coldest winter in years &amp; a prediction of intense cold &amp; snow. So where is the global warming &amp; by climate change, do they mean we are going back to 70s when we used to have done every winter?",[],2021-11-26 22:54:30
5231,Peter Clack,"New South Wales, Australia","The case for climate change is unpicked in this amazing detailed blog. It is the full monty, from drowning cities, sinking islands to burning deserts. Global warming has a long detailed history of planning and scheming, not from any interest in climate. 
https://t.co/wvIZCHJbvT",[],2021-11-26 22:51:15
5232,Neil Fletcher 🌊,EU,"Albatross ‘divorce’ rates up due to climate change, study finds https://t.co/QTXz8ofAJc",[],2021-11-26 22:45:49
5233,Political Humor & Lack Thereof,"New York, USA","@The_Manzino @kerford81 @nuckingfuts99 @PhilWat10873351 @Natem991 @benshapiro This has been completely debunked and they changed it from ""global warming"" to ""climate change"". Because if greenhouse gases were getting trapped and things were heating up we wouldn't be having snow in Texas. They changed it to climate change when they realized it was normal. https://t.co/7SEiSEgNNv",[],2021-11-26 22:45:35
5234,The Nation,,"""In this sweeping imperial transition, global warming will undoubtedly be the catalyst for a witch’s brew of change guaranteed to erode both America’s world system and its once unchallenged hegemony."" https://t.co/NXUcICBgFE",[],2021-11-26 22:30:00
5235,Dr. Abbie 🍂,Anishinaabeg/Odawa land,"(But don't worry, we should worry about climate change/global warming, capitalist dystopia, catastrophic global war, the Sun becoming a red giant, and probably some rogue asteroids, before we should worry about black holes ¯\_(ツ)_/¯ #BlackHoleFriday)","[{'text': 'BlackHoleFriday', 'indices': [233, 249]}]",2021-11-26 22:23:00
5236,W. James Wright,Canada,@brianlilley @Tastic1 @JustinTrudeau But climate change lol biggest joke on the world. I have dealt with acid rain global warming - these politicians know how to make money on pseudo science,[],2021-11-26 22:17:08
5237,GalenW,Earth ,"@rebeccabguinn @MyTwinMN @RBReich We were warned about climate change and global warming thirty years ago and humanity always answered with the cargo cult mantra of ""We'll invent a way out in the future!""

Guess what? The future is here and the devil is calling the tune.",[],2021-11-26 22:13:11
5238,IoT Channel 66,Online,"State of the climate: 2020 ties as warmest year on record https://t.co/PGMYJs8jgM #ClimateChange #environment
rt @wef https://t.co/TKGcz19ojv","[{'text': 'ClimateChange', 'indices': [82, 96]}, {'text': 'environment', 'indices': [97, 109]}]",2021-11-26 22:12:11
5239,Chuck,,"@UKsnow_updates Is that global warming , climate change or weather ?",[],2021-11-26 22:06:15
5240,CorvusSG,Queensland,"@goodfoodgal Always, for as long as they are able to get away with it. And if that stops working there'll be something else - like their goddess Gaia being 'harmed' by global climate warming change cooling ... thing. 

Then they'll lock us up to hit their Naz... sorry, Net Zero targets.",[],2021-11-26 21:56:35
5241,💧🏸 BettyG,Sydney Australia,"https://t.co/wOyAkN6WjI

Peer reviewed research: “evidence showing changes in weather due to global warming were the driving force behind the boom in Australia’s bushfires” 

No excuse for more robust #climateaction #auspol","[{'text': 'climateaction', 'indices': [201, 215]}, {'text': 'auspol', 'indices': [216, 223]}]",2021-11-26 21:29:01
5242,Mr Eton Oldboys OBE,Weymouth,"@CalSocialHermit @TheRainbowEnds I was conned into buying a diesel car to save the planet and stop global warming, now its climate change",[],2021-11-26 21:26:06
5243,Tim Edwards,"Huntsville, AL ","Interior Dept. Report on Drilling Is Mostly Silent on Climate Change

The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications.https://t.co/VpeF1U1NFI",[],2021-11-26 21:20:54
5244,Kathy #Dragons,,@tangledfoooted @EU_NO_MORE I cringe when people use examples of it being cold to show there is no climate change. They learnt the term global warming as a kid and still have no idea what it means. Very cringeworthy and says something about our education system people are this stupid.,[],2021-11-26 21:05:02
5245,Kabull,"England, United Kingdom","@demilynne701 There's no global warming now, it's all climate change 😃",[],2021-11-26 20:57:45
5246,A Window On Tech,Twitterverse,"Rt @wef 
This disease kills 400,000 people a year. A new map shows where climate change will make it worse https://t.co/7cAWBqXUR8 #WorldMalariaDay https://t.co/Sk0nuiegeJ","[{'text': 'WorldMalariaDay', 'indices': [131, 147]}]",2021-11-26 20:50:05
5247,Deb Hunt,,@PhilWat10873351 @Natem991 @benshapiro If you talk to any weather person worth their salt they will tell you these are normal changes. I guess pushing global warming didn't work so now its pushing climate change!,[],2021-11-26 20:43:15
5248,Sam Gatige Gathari,"Thiba, Kenya",@ScienceNotDogma @redmayne_robert Wow I'm very excited and encouraged by each and everyone's😊 simple action however it may look like.. but making a great impact on the environmental conservation.. stop global warming and climate change agenda around the globe.. keep it up 👍 guys..#saveplanetearth,"[{'text': 'saveplanetearth', 'indices': [281, 297]}]",2021-11-26 20:25:06
5249,Tony,Australia,"@smh I am in my late 70’s weather be same all my life Australia has droughts, floods, bushfires,very hot weather, very cold weather etc that’s Australia nothing has changed except this people make up lies in my time we had ice Age , Global Warming, Climate Change nothing happened",[],2021-11-26 20:21:54
5250,Mark,,"Interior Dept. Report on Drilling Is Mostly Silent on Climate Change 

The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications.

https://t.co/EXw5iaXhLa https://t.co/IxbaAzqTan",[],2021-11-26 20:18:03
5251,Midnite Ryder❇️,"39.953917, -76",When global warming became climate change https://t.co/jAOL37iHTv,[],2021-11-26 20:17:49
5252,jAnBoK,,"@nickhedley If the vax story falls flat, just through in the global warming (oops, sorry) climate change story...🤭🤡👈🏽
Why are you scared if you are vaxxed?🤭😅",[],2021-11-26 20:01:21
5253,hast1721,,@ksorbs and they poop a lot which causes global warming and climate change,[],2021-11-26 19:49:18
5254,Denver Guy,Denver,"@PamelaApostolo1 It's happening for the same reason that theres global warming, climate change, mass extinctions, and deforestation. It's the pressure from over-population, it happens slowly at first then faster and faster. Called exponential population growth, we are consuming everything.",[],2021-11-26 19:41:37
5255,James Anderson,,"@tan123  ... definitely one for you :)

https://t.co/G3JUqU9M8w",[],2021-11-26 19:37:56
5256,Paul Lewis,UK. Usually in London.,Faithfulness was ‘an albatross round my neck’ says bird https://t.co/ArgQOoWqsb,[],2021-11-26 19:36:41
5257,chanaaz,Kimberley South Africa ,@DaleDaschner Global warming...oops no I mean climate change moving along nicely,[],2021-11-26 19:33:40
5258,Sobia Akbar,,"@iamshafaatali @fawadchaudhry Why can't we choose more than one options?It's difficult.😭😭
In terms of social protection and welfare,Health Card is just revolutionary.
But looking at the rising threat of Global Warming and Climate Change, billion🌲is crucial for the survival of our planet and our future gen.",[],2021-11-26 19:33:03
5259,The Age,"Melbourne, Australia",Global warming is changing Australia’s weather for the worse and a new study shows for the first time this is the key driver of deadly bushfires. #climate  #bushfires  https://t.co/sSvcyPusDy,"[{'text': 'climate', 'indices': [146, 154]}, {'text': 'bushfires', 'indices': [156, 166]}]",2021-11-26 19:30:14
5260,Allan Margolin,NYC USA,"What's #ClimateChange Doing To The Taste Of Rice  

https://t.co/gTEvcv6F6z

@FoodAndWineDiva @thewebbix @RutherfordRocks @Hays4horsesjude @USAPower2People @maura_resister @KapeciaResists @LiberalResist @K_Thomas_Ross @DocTucson @brat2381 @lorjayzee2 @Lola15363615 @confunctionist https://t.co/YEiqnO1n6Y","[{'text': 'ClimateChange', 'indices': [7, 21]}]",2021-11-26 19:25:00
5261,Boo,"The DEEP South, USA","@coachcamxxx @beachlvr21399 EXACTLY!!! Bravo Coach! If Global Warming(or as they now call it Climate Change B/C clearly the“warming”narrative was no longer working)ACTUALLY EXISTED would Nancy Pelosi, the Obamas,etc buy properties along the water’s edge?! Would ANY BANK(in on it) arrange a 30yr mortgage?!🤣",[],2021-11-26 19:19:18
5262,James Cat,"Montréal, Québec","Unless Omicron stops global warming or at the very least changes regulatory policy globally to fight climate change, I am not selling $TSLA. FU, Covid.",[],2021-11-26 19:17:13
5263,Sheetal Chhabria,"Boston, MA","“climate change is not just a problem of global warming or environmental catastrophes but an intricate network of social and economic injustices.” - ⁦@sakshiaravind⁩

A People’s Green New Deal – ⁦@DivDecEcon⁩  https://t.co/UkHvEamh84",[],2021-11-26 19:16:57
5264,USA Unify,"San Francisco, CA","Interior Dept. Report on Drilling Is Mostly Silent on Climate Change. The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications. … https://t.co/bj9D00heoC",[],2021-11-26 19:06:49
5265,Willy D,,"Weak minded people label anything they can't properly explain as climate change. Last Jan they blamed a cold spell on climate change. Yes they claimed warm weather forced down cold air and therefore global warming, just rubbish",[],2021-11-26 19:04:37
5266,National Interest,"Washington, DC","China's lack of transparency regarding global warming is consistent with its foreign policy in general, argues Hector Schamis. https://t.co/a8yw4fHL0l",[],2021-11-26 19:01:34
5267,harsh,"calcutta, India",@ndtv The crises of Climate Change is an impending catastrophe.  Environment crises and Global warming does not recognise  national boundaries. The first world - third world narrative is of no avail. Need to stop ECOCIDES Crimes Against Earth and work towards Environment conservation.,[],2021-11-26 18:52:45
5268,Climate Lens,,"@OmarAlghabra The deepening climate crisis as well as the spread of COVID variants is a good time to reflect on air travel in general. 
https://t.co/ZL1zpj3yuq",[],2021-11-26 18:42:26
5269,ProgressivePower,"San Francisco, CA","Interior Dept. Report on Drilling Is Mostly Silent on Climate Change. The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications. https://t.co/CPaFVJS9LR https://t.co/46uhZH991k",[],2021-11-26 18:39:49
5270,Marcus Evans 📚 ⚛️ 🔭 ⚖️ 💙 🎼 🏀,United States,"Interior Dept. Report on Drilling Is Mostly Silent on Climate Change: The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications. https://t.co/rIjgt59ZL4 https://t.co/lP1QU5Kaau",[],2021-11-26 18:37:06
5271,AYMAN,"Mumbai,India","@novaramedia @GretaThunberg @GeorgeMonbiot The most important thing about global warming is this. Whether humans are responsible for the bulk of climate change is going to be left to the scientists, but it's all of our responsibility to leave this planet in better shape for the future generations than we found it.",[],2021-11-26 18:29:01
5272,GOVERNOR 048,NAIROBI,"#ecnallstars
With the ongoing Global warming and Climate change @EcnRadio_Ke urges the general public to take caution⚠️ on what they consume. ""We urge our listeners to take more water💧and liquids. Eat greens and protect the environment. Plant trees🌳"" we care about your welfare.","[{'text': 'ecnallstars', 'indices': [0, 12]}]",2021-11-26 18:20:20
5273,Bruce Schlink,,I though that saving the planet from global warming/ climate change was a all consuming issue for the democrats I guess not. https://t.co/PUdevkh2f2,[],2021-11-26 18:03:13
5274,Charles Burns,"Sunshine Coast, British Columbia, Canada",@JustinTrudeau Canada needs and requires The Green New Deal with no one left behind - Mr Trudeau we cannot live &amp; adapt to climate change this is a failing strategy we need to reverse global warming @theJagmeetSingh,[],2021-11-26 17:56:38
5275,Dorian Smith,,@triggerpod @KonstantinKisin @BjornLomborg @francisjfoster Isn’t calling “climate change” “global warming” similar to still referring to a Snickers bar as a Marathon?,[],2021-11-26 17:52:57
5276,Sam Enderby,"""A"" Train","Because We Are Not A Serious People Our Interior Dept. Report on Drilling Is Mostly Silent on Climate Change
The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account https://t.co/EI8MVAYoha",[],2021-11-26 17:52:11
5277,FixthePeg,,"@ClimateActionMB @CCPAMB @drdurdanaislam There is no climate change! They called it Global warming until Winnipeg had the coldest winter on record, so the name changed to climate change. It is only in existence so government can tax us more.",[],2021-11-26 17:41:47
5278,João Paulo Mendes Silva,"São Paulo, Brasil","@UN @UNEP @EU_Commission @POTUS @VP @WhiteHouse @ASEAN @KremlinRussia_E @BorisJohnson @GOVUK @TheChineseGovt Dear All, Jair Bolsonaro doesn't mind about Global Warming, Climate Change or if  Amazonia is burning. He's also a negationist of the Covid pandemic. He’s a big problem!",[],2021-11-26 17:40:35
5279,Mel,PDX,"A Frank Capra film, the fourth in a series with Bell Labs, seemed to know what was coming re: global warming. Released on broadcast TV February, 1958, and shown in American classrooms. https://t.co/ktz7u2FTLb",[],2021-11-26 17:31:56
5280,James McCain,"Shreveport, LA",@washingtonpost What crap. Anthropogenic Global Warming is a fraud calling it Climate Change does not change that fact.,[],2021-11-26 17:31:02
5281,TRF Climate,London,"🟢 At the end of the #COP26 summit this month, many said the hard work to tackle global warming is just beginning.

🛍 Brands must adopt a “‘whole organisation' approach to climate change” according to Hannah Nascimento of @Given_Agency.👇

https://t.co/FNWJYERvuF","[{'text': 'COP26', 'indices': [20, 26]}]",2021-11-26 17:07:01
5282,DekoRobo,o/s SHIP INN..waiting..waiting,"@ChartsClimate @FriendsOScience Foisting FF bans on poorest regions is all part of the agenda.

https://t.co/4cQWo5FTIP",[],2021-11-26 16:59:12
5283,John L. Grafft,365 million Acres,@RegVickers @GDThor1 @ldog562 @impinkestgirl @MusicIsTheory @MFrance923 @kristyshl @zazzybritches @62WalterP @BonJS0370 @gojoe_joe @MarciaBunney @keriRN @patricia_millin @moriartydg @BlueSwede2000 @Saline_tRick @GreatTammie @politiolyc @poppij @CunningSq16 @KeepsAtIt @whosyourdandy22 @sandibaise1 @bobbiejaneV @McGeezer70 @StaryStaryNlght @Cha51brolll19 @MairScott3 @julyriver @Ldogls @BernadetteNTF @HondoResists @CirclesSpinning @CartistNy @blues679 @TilghmanChris @RockyMtnView @Ezim79 @doug_in_nc @TJNugent520 @OklahomaPatrio1 @yoly54128913 @bettypge69 @sugar1420 @BlueWave_resist Good copy on that my brother I was trying to be diplomatic and not tell everybody how lousy were doing from that perspective and we’re not even getting into climate change climate shifting and global warming and the ever present human footprint.👍🙏👀🧢☕️☕️🧢,[],2021-11-26 16:55:31
